Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,casecost (product.metafields.custom.casecost),caseqty (product.metafields.custom.caseqty),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Flavor (product.metafields.shopify.flavor),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sardar-jee-pink-guava-180gm,SARDAR JEE - PINK GUAVA - 180GM,<p>SARDAR JEE - PINK GUAVA - 180GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Guavas",Candy,Sardarjee,true,Title,Default Title,,,,,,,,'628120231175,180.0,,0,deny,manual,2.99,,true,true,,,,,'628120231175,,,,false,,,6625,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-jeera-goli-200gm,SURATI - JEERA GOLI - 200GM,<p>SURATI - JEERA GOLI - 200GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices",Candy,Surati,true,Title,Default Title,,,,,,,,'068656013218,200.0,,0,deny,manual,3.99,,true,true,,,,,'068656013218,,,,false,,,1529,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-kashmiri-mukhwas-180gm,SURATI - KASHMIRI MUKHWAS - 180GM,<p>SURATI - KASHMIRI MUKHWAS - 180GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy","",Surati,true,Title,Default Title,,,,,,,,'068656013379,180.0,,0,deny,manual,3.99,,true,true,,,,,'068656013379,,,,false,,,4748,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-crispy-topsy-130gm,SURATI - CRISPY TOPSY - 130GM,<p>SURATI - CRISPY TOPSY - 130GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Appetizers & Side Dishes","",Surati,true,Title,Default Title,,,,,,,,'068656013393,130.0,,0,deny,manual,3.29,,true,true,,,,,'068656013393,,,,false,,,499989,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-elachi-variali-130gm,SURATI - ELACHI VARIALI - 130GM,<p>SURATI - ELACHI VARIALI - 130GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices","",Surati,true,Title,Default Title,,,,,,,,'068656013362,130.0,,0,deny,manual,3.29,,true,true,,,,,'068656013362,,,,false,,,1529,,,,,,,,,,,,,,,,,,,,,,g,,,active
untitled-feb15_13-54,SURATI - SURATI PAPDI - 300GM,<p>SURATI - SURTI PAPDI - 300GM</p>,Surati,,Frozen,"",true,Title,Default Title,,,,,,,,'068656009075,300.0,,0,deny,manual,2.99,,true,true,,,,,'068656009075,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-anar-goli-180gm,SURATI  - ANAR GOLI - 180GM,<p>SURATI - ANAR GOLI - 180GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy","","",true,Title,Default Title,,,,,,,,'068656013386,180.0,,0,deny,manual,3.29,,true,true,,,,,'068656013386,,,,false,,,4748,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-kacha-aam-goli-200gm,SURATI - KACHA AAM GOLI - 200GM,<p>SURATI - KACHA AAM GOLI - 200GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Guavas","","",true,Title,Default Title,,,,,,,,'068656013423,200.0,,0,deny,manual,3.99,,true,true,,,,,'068656013423,,,,false,,,6625,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-shalini-mukhwas-170gm,SURATI - SHALINI MUKHWAS - 170gm,<p>SURATI - SHALINI MUKHWAS - 170 GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy","","",true,Title,Default Title,,,,,,,,'068657013263,170.0,,0,deny,manual,3.99,,true,true,,,,,'068657013263,,,,false,,,4748,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-round-fryums-400gm,SURATI - ROUND FRYUMS- 400GM,<p>SURATI - ROUND FRYUMS  - 400GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips","","",true,Title,Default Title,,,,,,,,,400.0,,0,deny,manual,3.99,,true,true,,,,,"",,,,false,,,2392,,,,,,,,,,,,,,,,,,,,,,g,,,active
